x,y,z
0.006738,0.005195,0.955332
-0.005684,0.001719,0.951191
-0.005508,-0.000039,0.953223
-0.006660,0.002480,0.959688
-0.006504,0.002148,0.963555
-0.001406,0.000176,0.966387
-0.000937,0.002637,0.966738
-0.002734,-0.000254,0.966133
-0.004707,0.000566,0.964961
-0.003320,0.003633,0.966621
0.000762,0.001426,0.967246
-0.002188,0.004043,0.968242
-0.000645,0.006543,0.969570
-0.003574,0.003633,0.971680
-0.001563,0.000176,0.971172
-0.002852,-0.000254,0.969805
-0.001348,0.001855,0.969961
0.001465,0.000937,0.967363
-0.005215,0.003613,0.970000
-0.003184,0.003105,0.972207
0.000957,0.003203,0.969980
-0.002246,-0.000313,0.969043
-0.001309,0.005645,0.970273
0.002812,0.006816,0.969434
-0.000937,-0.000410,0.970313
0.003281,0.002051,0.971602
0.001055,0.004492,0.972422
0.000000,0.000000,0.000000
0.012773,0.034902,0.127500
0.608203,0.733242,0.973164
0.741836,0.746113,0.275117
0.395332,0.358906,-0.105332
0.119590,0.084434,0.563770
0.033750,-0.027070,0.924375
0.026914,-0.042617,0.957754
0.021172,-0.057207,0.951172
0.029453,-0.063516,0.953027
0.036035,-0.061211,0.965039
0.040742,-0.054453,0.984199
0.035723,-0.050234,0.992480
0.039766,-0.052109,0.990234
0.037031,-0.058203,0.981387
0.034648,-0.057813,0.966309
0.034727,-0.051895,0.954277
0.035859,-0.051953,0.950410
0.043867,-0.056582,0.956836
0.041836,-0.063789,0.966641
0.037871,-0.063125,0.972969
0.033691,-0.060508,0.971914
0.034746,-0.053906,0.962520
0.033281,-0.055000,0.955762
0.034980,-0.057695,0.955195
0.043262,-0.057598,0.962266
0.045293,-0.055684,0.966777
0.041602,-0.056211,0.966367
0.041680,-0.059824,0.963281
0.042891,-0.055957,0.960078
0.043203,-0.057852,0.960723
0.039570,-0.056250,0.962871
0.039902,-0.055508,0.964805
0.042051,-0.057383,0.962246
0.037266,-0.058301,0.958066
0.039297,-0.053418,0.960469
0.041543,-0.049902,0.967695
0.039902,-0.047168,0.969180
0.033066,-0.049727,0.968105
0.029375,-0.053145,0.969258
0.031465,-0.053672,0.969199
0.034141,-0.056367,0.970078
0.035117,-0.057246,0.970527
0.040254,-0.056387,0.965742
0.042734,-0.056113,0.964395
0.036914,-0.056211,0.966504
0.032402,-0.056543,0.968516
0.035039,-0.055996,0.966211
0.036074,-0.052187,0.969199
0.035957,-0.052461,0.967461
0.037832,-0.053789,0.969609
0.035039,-0.054668,0.974063
0.035020,-0.051543,0.973965
0.035449,-0.050176,0.969961
0.034551,-0.049629,0.962871
0.031406,-0.048672,0.961191
0.038359,-0.051289,0.966641
0.044336,-0.053164,0.968828
0.040527,-0.054297,0.963145
0.038730,-0.051152,0.963555
0.039648,-0.054316,0.964004
0.037266,-0.057090,0.964785
0.039277,-0.056875,0.969082
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012773,-0.084473,0.127500
0.605879,-0.029883,0.972109
0.735215,0.360938,0.270937
0.394844,0.352637,-0.111270
0.129180,0.075332,0.549160
0.040977,-0.045234,0.902949
0.035703,-0.052910,0.943457
0.036895,-0.053223,0.950762
0.039043,-0.054492,0.956875
0.040547,-0.053828,0.959902
0.037324,-0.055996,0.963203
0.038281,-0.053613,0.967012
0.038965,-0.055293,0.969492
0.037207,-0.055156,0.969453
0.038027,-0.053770,0.968418
0.037148,-0.051094,0.970820
0.038379,-0.053008,0.970801
0.037988,-0.054297,0.965879
0.035137,-0.055879,0.963457
0.034980,-0.051777,0.964941
0.035391,-0.050176,0.966328
0.040059,-0.052441,0.966309
0.041230,-0.057871,0.965313
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012773,0.035840,0.127500
0.607031,0.737402,0.971348
0.737090,0.745527,0.270234
0.394668,0.358125,-0.110820
0.127852,0.075215,0.552598
0.039160,-0.038887,0.910293
0.032910,-0.051816,0.952910
0.033223,-0.054707,0.959688
0.033945,-0.056914,0.962441
0.039023,-0.058242,0.963516
0.038340,-0.058809,0.965176
0.034336,-0.056719,0.965078
0.035293,-0.054473,0.963223
0.037500,-0.052891,0.965254
0.036699,-0.055742,0.963789
0.036699,-0.054961,0.965703
0.034844,-0.055234,0.967617
0.035820,-0.055410,0.965703
0.037207,-0.054199,0.962363
0.042832,-0.053730,0.963496
0.039297,-0.058887,0.963906
0.041445,-0.057832,0.967324
0.042051,-0.056250,0.970410
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012813,-0.081641,0.127500
0.609297,-0.035449,0.971289
0.737969,0.355781,0.269297
0.394297,0.344941,-0.110762
0.127500,0.074141,0.551113
0.041172,-0.042617,0.905312
0.032246,-0.057832,0.948184
0.032383,-0.058828,0.951855
0.035059,-0.056289,0.954375
0.036152,-0.057188,0.957617
0.043281,-0.060352,0.961035
0.038887,-0.058145,0.962109
0.037539,-0.054492,0.965762
0.038594,-0.053516,0.967773
0.040254,-0.052637,0.964727
0.040879,-0.049922,0.961426
0.038145,-0.051113,0.961758
0.036074,-0.052715,0.963926
0.039980,-0.052754,0.965742
0.043711,-0.053262,0.965840
0.039297,-0.058887,0.963906
0.041445,-0.057832,0.967324
0.042051,-0.056250,0.970410
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012715,0.034902,0.127500
0.603535,0.731094,0.972441
0.743848,0.746016,0.271680
0.392910,0.353770,-0.108945
0.126562,0.074102,0.549375
0.039648,-0.045137,0.904609
0.038203,-0.055508,0.945430
0.035840,-0.059141,0.948848
0.033848,-0.059570,0.954727
0.036172,-0.053848,0.958926
0.034473,-0.054336,0.962715
0.040098,-0.053867,0.964023
0.039492,-0.058516,0.964004
0.038418,-0.056133,0.964336
0.035898,-0.054141,0.961914
0.042988,-0.053867,0.961406
0.041719,-0.057715,0.966250
0.034141,-0.051758,0.962090
0.039961,-0.053594,0.960977
0.038594,-0.055469,0.965547
0.039707,-0.058359,0.965586
0.041133,-0.056836,0.964082
0.039512,-0.057031,0.964902
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.000293,0.032012,0.133496
0.552363,0.655977,1.234961
0.617539,0.459648,1.299727
0.165117,0.004883,1.001367
0.049570,-0.053262,0.951504
0.033086,-0.057949,0.942344
0.035898,-0.058184,0.947539
0.037832,-0.055273,0.954063
0.035449,-0.055684,0.955645
0.033672,-0.057344,0.958691
0.035098,-0.056055,0.959551
0.035762,-0.053906,0.957773
0.038730,-0.055801,0.957578
0.037520,-0.054648,0.961055
0.037715,-0.055273,0.962656
0.038691,-0.053789,0.963320
0.035508,-0.052793,0.964082
0.039023,-0.051992,0.965137
0.039219,-0.056133,0.962871
0.039766,-0.056523,0.964629
0.039023,-0.053965,0.965977
0.041992,-0.053848,0.968125
0.039512,-0.057031,0.964902
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
-0.080371,0.032031,0.133477
0.004395,0.660508,1.232949
0.354023,0.461797,1.300156
0.169590,0.006660,1.001309
0.048789,-0.054883,0.951367
0.037051,-0.060645,0.945977
0.034297,-0.061543,0.947480
0.036523,-0.059766,0.953223
0.038770,-0.057871,0.958457
0.037891,-0.053594,0.959668
0.033945,-0.052637,0.961836
0.037031,-0.055352,0.962598
0.037578,-0.059707,0.962773
0.039375,-0.058691,0.965703
0.037441,-0.056719,0.965176
0.041602,-0.054922,0.969297
0.042598,-0.052480,0.967891
0.040859,-0.051230,0.964844
0.037676,-0.053359,0.963613
0.037461,-0.052773,0.963496
0.038613,-0.054551,0.962930
0.037422,-0.055488,0.967441
0.039512,-0.057031,0.964902
0.040039,-0.055762,0.964746
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012773,-0.081621,0.127500
0.606660,-0.029766,0.971289
0.736797,0.362090,0.270293
0.397188,0.345547,-0.110469
0.129473,0.073770,0.550488
0.042500,-0.046562,0.905410
0.035918,-0.057324,0.949980
0.035332,-0.057559,0.955937
0.035410,-0.058223,0.961484
0.034863,-0.057949,0.963008
0.036758,-0.055938,0.960391
0.034395,-0.055137,0.960664
0.034043,-0.054004,0.962148
0.037500,-0.051621,0.965977
0.040547,-0.055332,0.965234
0.039336,-0.058652,0.964355
0.036992,-0.055859,0.964551
0.037539,-0.050879,0.967246
0.038184,-0.055098,0.967461
0.036426,-0.055801,0.968203
0.035176,-0.055117,0.968652
0.040195,-0.055078,0.967070
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012813,0.034844,0.127539
0.609727,0.728437,0.977187
0.742344,0.740996,0.276230
0.396582,0.354336,-0.112852
0.128418,0.076563,0.549551
0.043867,-0.044453,0.905801
0.033691,-0.057090,0.947598
0.035098,-0.054023,0.955684
0.036855,-0.052168,0.957949
0.039062,-0.054258,0.961426
0.041367,-0.051934,0.964121
0.041953,-0.053145,0.964043
0.041328,-0.053437,0.963398
0.043691,-0.054355,0.964102
0.042051,-0.053711,0.965469
0.041875,-0.054668,0.965547
0.041133,-0.054922,0.965059
0.041289,-0.054707,0.966016
0.037969,-0.054629,0.965488
0.039824,-0.054023,0.968262
0.038555,-0.054668,0.966660
0.037461,-0.057715,0.969512
0.040625,-0.056973,0.963457
0.039082,-0.056777,0.963691
0.037324,-0.054570,0.962793
0.035547,-0.052949,0.961816
0.040254,-0.053437,0.965547
0.038496,-0.054199,0.967773
0.040547,-0.051699,0.968066
0.039219,-0.051113,0.963477
0.043789,-0.056660,0.972520
0.000000,0.000000,0.000000
0.012754,0.034902,0.127500
0.603848,0.731094,0.968105
0.734902,0.742617,0.266680
0.398613,0.355605,-0.112109
0.130605,0.077852,0.548477
0.044336,-0.043535,0.905293
0.035176,-0.052949,0.944375
0.033555,-0.054355,0.951035
0.035762,-0.055137,0.955156
0.036367,-0.055586,0.959395
0.040801,-0.054727,0.959902
0.042383,-0.054707,0.964707
0.039609,-0.054473,0.963281
0.040664,-0.051836,0.963223
0.040684,-0.054023,0.962656
0.038047,-0.055352,0.960996
0.041719,-0.058516,0.961270
0.037578,-0.057871,0.960977
