x,y,z
0,0,0
0.00990234,0.0290234,0.09875
0.590625,0.67418,0.509434
0.725977,0.691289,-0.123887
0.381992,0.376211,-0.140801
0.0739648,0.193672,0.554238
-0.0292383,0.13127,0.940625
-0.0415234,0.107246,0.981348
-0.0420898,0.0830273,0.957441
-0.0399805,0.0749414,0.954941
-0.0384375,0.0866016,0.971602
-0.040332,0.0875,0.970527
-0.0307422,0.0649609,0.953359
-0.0233398,0.0738867,0.956504
-0.0278711,0.108164,0.976934
-0.0348437,0.106133,0.990742
-0.0414258,0.0741992,0.973418
-0.0413477,0.0576562,0.957363
-0.0264648,0.0929297,0.979043
-0.0269531,0.118164,1.0051
-0.0293945,0.084375,0.988672
-0.0281055,0.038418,0.954551
-0.0322266,0.0615039,0.951875
-0.028125,0.117539,0.984238
-0.0338086,0.130508,1.01219
-0.0382227,0.101836,0.993398
-0.0313477,0.0596289,0.958516
-0.0286719,0.0621094,0.958223
-0.0291797,0.108867,0.984082
-0.0306445,0.122695,1.00486
-0.0375781,0.0835742,0.991191
-0.0341016,0.0644336,0.978008
-0.0287109,0.10168,0.997402
-0.0388672,0.123867,1.01623
-0.0464453,0.0931836,0.997441
-0.0412891,0.0608594,0.970938
-0.0332812,0.0678906,0.971797
-0.0335156,0.095,0.990371
-0.0323047,0.109297,1.00936
-0.0272266,0.0873242,1.00922
-0.0368945,0.0672852,0.995801
-0.0345117,0.0881641,0.994727
-0.0218555,0.103828,1.00441
-0.0303516,0.0832617,0.989082
-0.0330664,0.0652344,0.96082
-0.0277344,0.0794727,0.956152
-0.0324414,0.0955664,0.966543
-0.0358594,0.097793,0.977676
-0.0388477,0.0934766,0.987793
-0.0442773,0.0816406,0.985469
-0.0416016,0.0808203,0.982637
-0.0363672,0.0933398,0.986191
-0.0406055,0.0919727,0.98752
-0.0407422,0.0813867,0.983848
-0.0316406,0.079043,0.972773
-0.030293,0.0839063,0.973066
-0.0325,0.0930078,0.979043
-0.0322461,0.10541,0.983516
-0.0263281,0.0932031,0.979668
-0.0343945,0.0757031,0.968242
-0.0393359,0.0825781,0.966055
-0.0354492,0.10623,0.978086
-0.0343359,0.0979492,0.980645
-0.0375977,0.0763086,0.967148
-0.0415625,0.0778125,0.96334
-0.0392773,0.101445,0.976602
-0.0366797,0.112695,0.990586
-0.0382227,0.0977344,0.985605
-0.0412109,0.0789844,0.982363
-0.0365234,0.0792773,0.988027
-0.0351562,0.0914648,0.998652
-0.0295898,0.0957617,1.00467
-0.0294141,0.0761133,0.995801
-0.0283203,0.0626562,0.982539
-0.0233398,0.082168,0.982969
-0.028457,0.108633,0.986504
-0.0326953,0.0955273,0.982656
-0.0269922,0.0751953,0.969668
-0.0320508,0.083418,0.96457
-0.0319727,0.0967578,0.973066
-0.0298633,0.0949414,0.98
-0.0286914,0.090332,0.978555
-0.0357617,0.0939258,0.981074
-0.0383398,0.0965625,0.987598
-0.0366016,0.0942383,0.984512
-0.0388281,0.0857617,0.973594
-0.0372656,0.081582,0.966914
-0.0401172,0.0933594,0.976523
-0.0347852,0.101562,0.981738
-0.028125,0.0896094,0.977793
-0.0307031,0.0834766,0.973867
-0.0298242,0.0958008,0.973105
-0.0368945,0.0932812,0.975527
-0.0403125,0.0830664,0.967695
-0.0318359,0.0912695,0.961836
-0.0418359,0.0952148,0.965781
-0.0344922,0.0760352,0.97832
-0.0319336,0.0994922,1.00689
-0.0525,0.133535,1.0033
-0.0356055,0.0802539,0.986543
-0.0241602,0.0354688,0.947285
-0.0450586,0.0575195,0.920879
-0.0401953,0.0793359,0.959375
-0.0288086,0.131777,0.990918
-0.0416797,0.109395,0.984082
-0.0317383,0.0529688,0.958223
-0.0269141,0.0749023,0.942734
-0.0272852,0.0984766,0.959297
-0.0279492,0.0947461,0.969824
-0.0488867,0.0922266,0.962539
-0.0371289,0.0918359,0.965059
-0.026543,0.088125,0.967773
-0.0331641,0.0991406,0.965703
-0.0400195,0.0844922,0.959375
-0.0340625,0.0716211,0.960957
-0.0371289,0.0874023,0.972832
-0.0338477,0.0986328,0.971211
-0.0283008,0.0819727,0.956855
-0.0370703,0.0756836,0.947559
-0.0376758,0.0993164,0.961348
-0.0338086,0.11752,0.971621
-0.0358594,0.100547,0.953477
-0.030918,0.0655664,0.930215
-0.0316992,0.0811133,0.943301
-0.0362305,0.125469,0.971914
-0.0390234,0.127812,0.971895
-0.0420117,0.0712891,0.946348
-0.0380273,0.0540234,0.94209
-0.0366406,0.111836,0.972695
-0.0369531,0.132207,1.00576
-0.0376953,0.0916797,1.00094
-0.0389648,0.0693164,0.978984
-0.0312305,0.0781445,0.974414
-0.02125,0.0886133,0.986484
-0.027207,0.0989453,0.989785
-0.0370898,0.0989648,0.982227
-0.0331055,0.0893164,0.976484
-0.0234961,0.0905664,0.970254
-0.03,0.103926,0.973711
-0.0363672,0.103477,0.982129
-0.0341797,0.0940234,0.984004
-0.0329687,0.093418,0.979824
-0.0314063,0.0999805,0.978242
-0.0329102,0.0995508,0.989707
-0.0432422,0.0991992,0.985234
-0.0413867,0.0865039,0.971055
-0.0331836,0.0815039,0.978223
-0.0291016,0.10627,0.986973
-0.0362305,0.102676,0.991758
-0.0318359,0.0856641,0.983984
-0.0272266,0.0876758,0.973301
-0.0332812,0.0982813,0.968574
-0.0308203,0.0920703,0.965137
-0.0291602,0.0875586,0.961777
-0.0288477,0.0944922,0.953613
-0.0282813,0.0902344,0.947441
-0.0338672,0.0919922,0.952031
-0.03875,0.0981055,0.956816
-0.0333008,0.0928125,0.95832
-0.0316211,0.0879102,0.956953
-0.0379102,0.0910156,0.962813
-0.0390234,0.0930273,0.973398
-0.0381055,0.0996289,0.973125
-0.0375,0.0906641,0.966504
-0.031875,0.0807812,0.956953
-0.0336328,0.0920312,0.961074
-0.0350195,0.103555,0.973145
-0.0323828,0.0995898,0.97498
-0.0341602,0.089668,0.968926
-0.0317773,0.0918945,0.965078
-0.028418,0.0968945,0.97334
-0.0266211,0.0898828,0.971406
-0.0295703,0.084707,0.958926
-0.0282617,0.0848437,0.960859
-0.0270117,0.0961328,0.972871
-0.0296875,0.0985547,0.977559
-0.0294922,0.0841211,0.97209
-0.0278125,0.0858984,0.970996
-0.0234961,0.100449,0.978848
-0.0267383,0.0980859,0.98332
-0.0314063,0.0866211,0.973652
-0.0305273,0.0810938,0.965234
-0.0234961,0.0873047,0.967852
-0.0196484,0.10457,0.976758
-0.0250391,0.107148,0.97832
-0.0285742,0.0938086,0.976152
-0.022793,0.0942383,0.971113
-0.0246875,0.10084,0.974434
-0.0196094,0.100137,0.980234
-0.0215039,0.0977344,0.97668
-0.0281836,0.0976953,0.975352
-0.0229687,0.0998242,0.979199
-0.0199609,0.103008,0.984746
-0.0282617,0.103652,0.989805
-0.0302344,0.0929102,0.983027
-0.0305273,0.0895117,0.974844
-0.029043,0.101113,0.979199
-0.0236719,0.105137,0.987773
-0.0253125,0.0985352,0.986133
-0.0274023,0.0936133,0.982383
-0.0257227,0.102813,0.981973
-0.0240234,0.104102,0.98373
-0.0228125,0.092168,0.98043
-0.0240234,0.0942383,0.979141
-0.0278125,0.103887,0.980293
-0.0286914,0.104805,0.984902
-0.0305859,0.0973633,0.986953
-0.0270508,0.0914453,0.983105
-0.0206445,0.0936133,0.982637
-0.0219336,0.0964453,0.985723
-0.0258203,0.103789,0.988086
-0.026543,0.0963867,0.986699
-0.0248828,0.0916797,0.978086
-0.0217969,0.0930273,0.973477
-0.0231055,0.0966406,0.975801
-0.02625,0.0957031,0.97793
-0.0250586,0.0956641,0.974434
-0.0199219,0.0968359,0.972715
-0.0215234,0.100039,0.973359
-0.0232227,0.0967383,0.975098
-0.0213281,0.0931641,0.969707
-0.0217188,0.0926172,0.967012
-0.0242188,0.0949805,0.965254
-0.0266016,0.0987305,0.965137
-0.0270508,0.0941602,0.968418
