x,y,z
-0.121016,0.227266,0.945039
-0.124238,0.228477,0.944277
-0.123203,0.227148,0.943184
-0.123984,0.227148,0.942891
-0.126836,0.22584,0.944375
-0.12748,0.223809,0.945703
-0.126191,0.223613,0.945371
-0.126191,0.223027,0.945801
-0.126328,0.221836,0.942188
-0.126016,0.223965,0.944551
-0.124727,0.226445,0.941094
-0.119219,0.227188,0.943613
-0.125586,0.225469,0.942031
-0.124316,0.225996,0.939727
-0.122285,0.224434,0.943008
-0.124355,0.224883,0.944297
-0.127324,0.222988,0.940371
-0.127266,0.224434,0.9425
-0.12373,0.224961,0.946074
-0.124219,0.224297,0.944648
-0.123516,0.225371,0.944473
-0.12168,0.225527,0.945488
-0.123086,0.224297,0.944082
-0.126465,0.223203,0.942949
0,0,0
-0.0147656,0.0330664,0.133008
0.150918,0.695937,1.01084
0.249707,0.678457,0.188984
0.338379,0.348164,-0.191992
0.144785,0.0467188,0.46582
0.0106055,-0.110449,0.904961
-0.045625,-0.0782422,1.04494
-0.0818164,0.00994141,1.15152
-0.0893555,0.111367,1.23119
-0.0753125,0.218125,1.30373
-0.0472266,0.313223,1.35721
-0.012207,0.38582,1.36566
0.0271484,0.42375,1.31602
0.0586523,0.407129,1.22172
0.084043,0.354434,1.0899
0.105879,0.276992,0.941777
0.119434,0.173164,0.820625
0.11543,0.0673438,0.727695
0.0979688,-0.0252734,0.676973
0.066543,-0.097207,0.661035
0.0260352,-0.147539,0.675508
-0.0130469,-0.163262,0.71457
-0.0555859,-0.151152,0.777891
-0.0977344,-0.111875,0.878594
-0.124727,-0.0325977,1.00004
-0.125293,0.0714258,1.11369
-0.107441,0.187832,1.21375
-0.0727734,0.298066,1.28193
-0.027207,0.367754,1.30018
0.0172656,0.396113,1.25529
0.0561328,0.376582,1.1384
0.0863477,0.32168,1.0027
0.103359,0.235645,0.872617
0.112695,0.131719,0.761523
0.105273,0.0344727,0.68873
0.0842187,-0.0499609,0.667578
0.0585742,-0.111016,0.686699
0.0152148,-0.14166,0.705098
-0.0275,-0.14748,0.744883
-0.0613672,-0.125625,0.815566
-0.0932227,-0.0820898,0.919512
-0.11166,-0.00867188,1.04256
-0.108359,0.0905664,1.16461
-0.0826758,0.19873,1.2707
-0.0425781,0.29623,1.33234
0.00123047,0.367832,1.33605
0.0446484,0.395039,1.26963
0.0776953,0.373047,1.13867
0.0974805,0.302422,0.982031
0.109434,0.209063,0.862734
0.108438,0.104355,0.759414
0.102383,0.00949219,0.688027
0.0816992,-0.067832,0.676133
0.0573242,-0.116699,0.71416
0.0204492,-0.133555,0.743516
-0.0130469,-0.132832,0.795664
-0.0534375,-0.110625,0.876309
-0.0852539,-0.0667773,0.981133
-0.102129,0.00158203,1.10701
-0.0979688,0.0969922,1.2318
-0.0711328,0.206777,1.33912
-0.0421875,0.30748,1.39125
-0.00910156,0.371973,1.35547
0.0241797,0.379785,1.23217
0.0447266,0.335762,1.05234
0.0599219,0.241172,0.900117
0.0732031,0.149375,0.78584
0.0883984,0.0590039,0.70457
0.0938477,-0.0176758,0.666875
0.0817188,-0.0666016,0.679629
0.0641992,-0.0928125,0.739473
0.0303125,-0.094707,0.771543
-0.00886719,-0.0942383,0.822168
-0.0557813,-0.0797656,0.923203
-0.0930664,-0.0441016,1.04635
-0.11459,0.0226953,1.17727
-0.10875,0.112031,1.2935
-0.0917188,0.218281,1.369
-0.0692187,0.305195,1.36377
-0.0394141,0.340371,1.26506
-0.00726563,0.324824,1.09254
0.0199609,0.26082,0.921484
0.0398242,0.180449,0.798242
0.0714063,0.096875,0.702168
0.0951953,0.0283398,0.646816
0.107129,-0.0127539,0.633047
0.105332,-0.0367969,0.666094
0.083418,-0.0527539,0.733184
0.0369141,-0.0570703,0.79002
-0.0147656,-0.0599023,0.850566
-0.0633984,-0.0588477,0.956504
-0.105508,-0.0305273,1.09957
-0.132305,0.0294922,1.23311
-0.140039,0.106055,1.31596
-0.119102,0.190059,1.33883
-0.0859961,0.253359,1.29164
-0.0525781,0.279219,1.18406
-0.0221484,0.265684,1.03705
0.0119141,0.222441,0.917051
0.0432422,0.17041,0.81041
0.0748438,0.11625,0.707461
0.100996,0.0681836,0.630898
0.109531,0.0295703,0.605
