x,y,z
-0.0541211,0.108008,0.966211
-0.054707,0.103633,0.962578
-0.0573633,0.0986328,0.961641
-0.0572461,0.100312,0.964727
-0.0557422,0.10457,0.96584
-0.0548242,0.103789,0.967207
-0.0566602,0.10373,0.964531
-0.0533008,0.109648,0.961934
-0.0549414,0.109219,0.965977
-0.0582422,0.106094,0.967422
-0.0598438,0.103613,0.966504
-0.0558594,0.101953,0.966855
-0.0552148,0.102695,0.963496
-0.0541406,0.103125,0.96332
-0.0578125,0.101543,0.963691
-0.0579687,0.104102,0.965449
-0.0546289,0.102227,0.965
-0.0559961,0.101719,0.965938
-0.055918,0.10084,0.966797
-0.0560937,0.099082,0.966582
-0.0557031,0.0987891,0.965313
0,0,0
-0.0863477,0.0320312,0.125312
-0.0780273,0.677461,1.10062
0.240488,0.584453,1.18955
0.0738281,0.192129,0.98873
-0.0510938,0.136133,0.951309
-0.0636719,0.133594,0.945742
-0.0645508,0.135879,0.950234
-0.0631055,0.134434,0.958145
-0.064043,0.133438,0.963633
-0.0608594,0.131934,0.966465
-0.0589063,0.131367,0.966152
-0.0587305,0.131074,0.964688
-0.0617578,0.129316,0.963711
-0.057832,0.126543,0.965313
-0.0547852,0.123438,0.962891
-0.0554102,0.124238,0.959785
-0.0582031,0.130469,0.961035
-0.0575977,0.132637,0.962363
-0.054375,0.129688,0.960078
-0.0591211,0.132695,0.957207
-0.0564648,0.137168,0.96125
-0.0598828,0.139512,0.964473
-0.0595703,0.137754,0.967168
-0.0621094,0.138379,0.969746
-0.059375,0.130801,0.972891
-0.0549023,0.130215,0.971699
-0.0585742,0.131973,0.971562
-0.0582422,0.128945,0.974219
-0.0577148,0.129219,0.975469
-0.0589258,0.129219,0.970938
-0.0583594,0.128672,0.969707
-0.0558008,0.124746,0.967969
-0.0531641,0.121504,0.966504
-0.0524609,0.127051,0.969785
-0.0528906,0.129258,0.970508
-0.0524414,0.131855,0.968066
-0.0542188,0.133945,0.963066
-0.0554297,0.137187,0.967871
-0.0539258,0.134414,0.97084
-0.0531641,0.134336,0.97334
-0.0613867,0.13707,0.974629
-0.0585547,0.134941,0.978398
-0.0593359,0.13752,0.980801
-0.0571875,0.139863,0.982461
-0.0552734,0.134648,0.981777
-0.0524609,0.129688,0.984102
-0.0540039,0.127656,0.981641
-0.0549805,0.127676,0.979688
-0.0526367,0.122305,0.97543
-0.0479688,0.124531,0.972832
-0.0508984,0.126836,0.969922
-0.0563086,0.126855,0.972539
-0.052832,0.12543,0.971504
-0.055293,0.13084,0.968613
-0.0580664,0.134746,0.972598
-0.0552148,0.139453,0.976172
-0.0587891,0.135469,0.978848
-0.0589258,0.136504,0.981797
-0.0535938,0.134121,0.980977
-0.0542188,0.130117,0.978867
-0.0658594,0.128848,0.981641
-0.0616602,0.127598,0.98125
-0.0568945,0.123457,0.981758
-0.0560156,0.121699,0.98043
-0.0558008,0.123633,0.975898
-0.0531445,0.124063,0.972598
-0.0496875,0.12498,0.968867
-0.0578906,0.129434,0.969004
-0.0607031,0.131758,0.968828
-0.0565625,0.124453,0.96623
-0.0547266,0.128145,0.965801
-0.0552344,0.129453,0.965703
-0.0544727,0.132324,0.967207
-0.0563477,0.135645,0.971797
-0.0607617,0.136172,0.972715
-0.0591602,0.131699,0.975957
-0.0591992,0.129863,0.977949
-0.0604297,0.128965,0.979902
-0.0586523,0.127715,0.976953
-0.0611328,0.121035,0.979004
-0.0578906,0.124121,0.976582
-0.0553125,0.126621,0.97123
-0.0548633,0.118945,0.967891
-0.0545703,0.118223,0.962734
-0.0544922,0.124453,0.965059
-0.0566211,0.126562,0.966172
-0.0533203,0.124746,0.962187
-0.0577734,0.128594,0.962793
-0.0560156,0.132285,0.96082
-0.0553906,0.134297,0.962109
-0.0553711,0.135625,0.96377
-0.0595117,0.135273,0.968789
-0.0630273,0.133652,0.971426
-0.0614844,0.127773,0.971055
-0.0589063,0.129297,0.972422
-0.0585938,0.131348,0.972988
-0.0577344,0.125156,0.972305
-0.0568555,0.124531,0.968555
-0.0563086,0.124219,0.964277
-0.0547656,0.118066,0.960508
-0.0512695,0.116602,0.957012
-0.0548438,0.121602,0.959004
-0.0602539,0.125527,0.961035
-0.0604492,0.121992,0.961113
-0.0539063,0.123965,0.957324
-0.0553711,0.129902,0.959102
-0.0563086,0.131797,0.962559
-0.0556641,0.131387,0.963301
-0.059707,0.133184,0.965137
-0.0570898,0.130293,0.96584
-0.0542188,0.129746,0.967969
-0.0588672,0.131523,0.966641
-0.0586133,0.130977,0.963145
-0.0542773,0.124902,0.960801
-0.0533398,0.12168,0.960215
-0.0531641,0.122363,0.960039
-0.0544727,0.119023,0.956445
-0.0544336,0.118691,0.954805
-0.0549609,0.128828,0.953926
-0.0531445,0.130469,0.955215
-0.0526367,0.123691,0.953887
-0.0539063,0.129727,0.95373
-0.0533008,0.135625,0.95543
-0.0551953,0.134805,0.95541
-0.0558789,0.134277,0.959766
-0.0549219,0.136289,0.962617
-0.0552344,0.133652,0.962969
-0.0560547,0.132324,0.96584
-0.057168,0.129512,0.967227
-0.0536719,0.125742,0.968477
-0.0508984,0.122539,0.968066
-0.0521484,0.121602,0.963496
-0.053125,0.122129,0.961309
-0.0572266,0.117324,0.951582
-0.0545313,0.119316,0.947773
-0.0525,0.123613,0.948105
-0.0570117,0.125547,0.950977
-0.0568945,0.123145,0.950879
-0.0571484,0.127109,0.950039
-0.0535742,0.131191,0.947383
-0.0535938,0.133457,0.947754
-0.0542578,0.131855,0.952207
-0.0558398,0.135664,0.956426
-0.0541016,0.131445,0.96
-0.0519336,0.126211,0.958359
-0.0529688,0.125703,0.958828
-0.0568359,0.12541,0.963066
-0.0564453,0.123125,0.962227
-0.0503711,0.122813,0.960508
-0.0493555,0.122188,0.956836
-0.0499805,0.117734,0.952227
-0.0515234,0.116719,0.945859
-0.0549414,0.120605,0.947813
-0.0563672,0.122813,0.949883
-0.0552148,0.124297,0.947227
-0.0546289,0.125117,0.945039
-0.0539063,0.126934,0.948594
-0.0585352,0.133184,0.945234
-0.0586133,0.134199,0.950508
-0.06,0.13752,0.954277
-0.060293,0.133906,0.955664
-0.0558594,0.12752,0.957344
-0.0535156,0.133125,0.957305
-0.05625,0.130957,0.955703
-0.0593945,0.126895,0.95416
-0.0568359,0.12668,0.952676
-0.0530469,0.125527,0.953672
-0.0500781,0.118945,0.95084
-0.0494336,0.119102,0.94627
-0.0495312,0.122422,0.94541
-0.0520117,0.126309,0.946504
-0.0571289,0.128125,0.945937
-0.0540039,0.127832,0.944316
-0.0510352,0.12875,0.944199
-0.0525195,0.130586,0.944844
-0.0544922,0.132051,0.947832
-0.0578906,0.133613,0.955469
-0.0616797,0.131367,0.956562
-0.0569727,0.125957,0.955996
-0.0561328,0.124102,0.956875
-0.0551172,0.122676,0.957285
-0.0516211,0.120313,0.959004
-0.0538477,0.119746,0.96168
-0.055957,0.123398,0.955469
-0.0521484,0.118477,0.949629
-0.0491797,0.113613,0.942363
-0.0558008,0.124512,0.943984
-0.0597461,0.127109,0.94668
-0.0558594,0.123438,0.947246
-0.0542578,0.123691,0.944453
-0.0549609,0.126367,0.945879
-0.0547656,0.127305,0.949844
-0.0564062,0.129805,0.952695
-0.0585742,0.135469,0.959434
-0.060625,0.133359,0.963145
-0.05625,0.125098,0.958711
-0.0514063,0.127207,0.959121
-0.0549414,0.130527,0.961895
-0.0586719,0.121426,0.960918
-0.0581641,0.117871,0.960508
-0.0558008,0.124082,0.957324
-0.0579102,0.12082,0.956602
-0.0557617,0.114277,0.953652
-0.0522461,0.122988,0.953438
-0.0586719,0.127324,0.956484
-0.0607813,0.12834,0.956914
-0.0564844,0.132188,0.957949
-0.054707,0.134766,0.960742
-0.0589453,0.135215,0.963906
-0.0595313,0.134082,0.963516
-0.0585352,0.133477,0.96875
-0.0566406,0.132168,0.971816
-0.0571094,0.130469,0.973496
-0.0574219,0.132617,0.974688
-0.0576758,0.131367,0.974824
-0.0556641,0.129668,0.974141
-0.05875,0.124238,0.976621
-0.0591992,0.120469,0.974121
-0.0563672,0.116035,0.97002
-0.0532422,0.115215,0.96332
-0.0544922,0.121426,0.962402
-0.056543,0.128281,0.964336
-0.0572266,0.126289,0.965137
-0.0550977,0.12457,0.962246
-0.0564453,0.128027,0.963906
-0.0566992,0.130078,0.963926
-0.0571875,0.130742,0.965762
-0.0600586,0.131797,0.965801
-0.0614258,0.132773,0.970957
-0.0583008,0.128359,0.971875
-0.0575781,0.127969,0.970215
-0.0603906,0.12584,0.971406
-0.0616797,0.12334,0.973281
-0.0589648,0.123184,0.972324
-0.0550977,0.122168,0.971836
-0.057832,0.118301,0.968086
-0.0541797,0.114141,0.961191
-0.0511328,0.121836,0.957129
-0.0569727,0.127422,0.96082
-0.0571484,0.125137,0.961094
-0.0568555,0.12457,0.960039
-0.0587305,0.129434,0.96373
-0.0635547,0.126172,0.966426
-0.0659766,0.125996,0.966152
-0.0659961,0.130039,0.968242
-0.0723633,0.129824,0.973672
-0.0710937,0.126426,0.973457
-0.0645703,0.129023,0.972852
-0.0604688,0.127539,0.977988
-0.0593945,0.122637,0.977656
-0.0616016,0.123066,0.975352
-0.0585938,0.122129,0.969219
-0.0601563,0.116191,0.963574
-0.0568359,0.114258,0.960684
-0.0586133,0.122188,0.957402
-0.0620117,0.12375,0.957754
-0.0605273,0.123613,0.957578
-0.0566992,0.121406,0.957266
-0.0554297,0.128438,0.960586
-0.0588477,0.130898,0.962422
-0.0590625,0.128496,0.961445
-0.0612109,0.127695,0.964766
-0.0648047,0.13123,0.971387
-0.065293,0.129316,0.973008
-0.0605859,0.130898,0.973828
-0.0601172,0.126738,0.976641
-0.0597852,0.121973,0.97541
-0.0630273,0.119043,0.97707
-0.0592383,0.119961,0.97543
-0.0548047,0.119297,0.974063
-0.0539258,0.117285,0.970938
-0.058125,0.120645,0.966562
-0.0610742,0.126152,0.968418
-0.0598242,0.124941,0.964922
-0.05625,0.121953,0.961914
-0.0560547,0.126562,0.964453
-0.0578711,0.128516,0.965938
-0.0591992,0.129863,0.969668
-0.0554883,0.132207,0.972344
-0.0601758,0.136289,0.974902
-0.059707,0.136641,0.980469
-0.0620508,0.132637,0.977891
-0.0626367,0.129395,0.978848
-0.0628711,0.120898,0.978711
-0.0597266,0.120605,0.977949
-0.0556641,0.124746,0.976758
-0.0565039,0.119961,0.976035
-0.0532617,0.115664,0.973477
-0.0549805,0.118086,0.971172
-0.0564062,0.123848,0.969336
-0.0528516,0.121582,0.966699
-0.0556641,0.12002,0.962539
-0.0616602,0.122344,0.965352
-0.059668,0.125566,0.964609
-0.0612891,0.127324,0.968047
-0.0587109,0.130586,0.970625
-0.0643555,0.129023,0.974395
-0.0618945,0.126934,0.978926
-0.0607422,0.125781,0.977754
-0.0608398,0.122754,0.975996
-0.0605859,0.121133,0.974043
-0.0589648,0.11666,0.96918
-0.0581055,0.120137,0.966953
-0.0536523,0.121406,0.966875
-0.0566992,0.114805,0.962461
-0.0562891,0.113926,0.960098
-0.0594922,0.118906,0.961855
-0.0584766,0.124375,0.961523
-0.0554297,0.123516,0.959863
-0.0597852,0.128691,0.960801
-0.0636523,0.127051,0.96334
-0.0617383,0.126719,0.964551
-0.0611914,0.128672,0.96709
-0.0633594,0.126113,0.971406
-0.0651367,0.121406,0.97125
-0.064375,0.120293,0.970352
-0.06125,0.125195,0.969746
-0.0580469,0.121563,0.972148
-0.0582812,0.118242,0.970371
-0.0565039,0.114512,0.966387
-0.0551953,0.115098,0.964004
-0.0553125,0.111543,0.960527
-0.0566797,0.115508,0.95707
-0.0592773,0.12209,0.957656
-0.0575391,0.124746,0.956543
-0.0611328,0.126562,0.954844
-0.0669141,0.1275,0.95627
-0.06375,0.128652,0.958828
-0.0611719,0.125469,0.960293
-0.0588477,0.131191,0.961602
-0.0585156,0.131758,0.966738
-0.0624023,0.126543,0.965723
-0.0634766,0.122012,0.965508
-0.0629297,0.123047,0.966445
-0.0598633,0.120078,0.966738
-0.059707,0.119668,0.965117
-0.0612305,0.122832,0.960215
-0.0586523,0.119453,0.958047
-0.0540039,0.115625,0.956309
-0.0533398,0.118926,0.953828
-0.0547656,0.122715,0.952539
-0.0545117,0.120371,0.951699
-0.0549805,0.124316,0.951406
-0.0567578,0.127188,0.955313
-0.0597266,0.127129,0.95584
-0.0593164,0.129609,0.959141
-0.0596484,0.132656,0.96
-0.0588086,0.128965,0.96293
-0.0600586,0.126309,0.962891
-0.0597266,0.126777,0.96498
-0.0598047,0.123945,0.963379
-0.0555273,0.121953,0.964102
-0.0569141,0.122363,0.960488
-0.0550391,0.119043,0.960449
-0.0525586,0.115527,0.956348
-0.050918,0.110391,0.953301
-0.0534961,0.116504,0.951172
-0.0535156,0.125195,0.949219
-0.0543555,0.123418,0.950762
-0.0533984,0.123711,0.948145
-0.0603516,0.127461,0.949492
-0.0619531,0.12627,0.952344
-0.0609766,0.128594,0.954277
-0.0609961,0.128379,0.958652
-0.0618945,0.12877,0.96293
-0.0607031,0.127871,0.963047
-0.0581836,0.124863,0.96209
-0.0608398,0.125078,0.96043
-0.0634961,0.12502,0.963496
-0.059375,0.124043,0.96543
-0.059375,0.121152,0.963984
-0.0547852,0.11793,0.961387
-0.0494727,0.112461,0.95582
-0.049707,0.115605,0.956113
-0.0539453,0.12125,0.953789
-0.059707,0.120293,0.95207
-0.0597656,0.120957,0.951641
-0.0544922,0.126875,0.953281
-0.0545508,0.126055,0.954121
-0.0560352,0.126016,0.954883
-0.0579102,0.130234,0.955508
-0.0572656,0.130254,0.959121
-0.0585156,0.127305,0.960078
-0.0579297,0.127148,0.960488
-0.0597656,0.125352,0.962773
-0.0558789,0.122676,0.964336
-0.056582,0.120234,0.966387
-0.0595508,0.121367,0.964355
-0.0567187,0.116836,0.961035
-0.0543945,0.111719,0.95709
-0.0530664,0.115527,0.950313
-0.0563477,0.125391,0.95002
-0.0582227,0.119668,0.951738
-0.0556055,0.122031,0.95168
-0.0608789,0.131016,0.95123
-0.0616797,0.131348,0.95127
-0.0593164,0.13043,0.952891
-0.0579687,0.132637,0.959805
-0.0637891,0.130137,0.965215
-0.0607031,0.12748,0.964648
