x,y,z
-0.0801562,0.131641,0.981699
-0.0775391,0.132129,0.979805
-0.0815039,0.13,0.975293
-0.0765039,0.127148,0.968477
-0.0179883,0.0348047,0.141602
0.125371,0.699824,1.29488
0.133926,0.547695,1.28045
0.0706055,0.137539,1.08285
0.00857422,0.0975781,1.0957
-0.00138672,0.0911914,1.07666
-0.00728516,0.0866406,1.05227
-0.0120703,0.0844727,1.02006
-0.0191406,0.0843164,0.998145
-0.0210352,0.0817188,0.983945
-0.0260352,0.0810938,0.977949
-0.0236328,0.0795703,0.970195
-0.0245117,0.0769922,0.96916
-0.0247461,0.0761328,0.968594
-0.0260547,0.0707422,0.968262
-0.0262695,0.0675586,0.96416
-0.0278906,0.0708984,0.964551
-0.0249219,0.0723828,0.964121
-0.0236523,0.0748438,0.963828
-0.024668,0.0758984,0.963242
-0.0280273,0.0774023,0.964648
-0.0276172,0.0758789,0.965781
-0.0276367,0.0736719,0.965801
-0.0278125,0.0748047,0.965781
-0.0258398,0.0772656,0.966113
-0.0303125,0.0783203,0.965703
-0.0306836,0.07875,0.966797
-0.0271875,0.0785352,0.967148
-0.0271094,0.0783594,0.966094
-0.0310937,0.0784375,0.965195
-0.0302344,0.0789062,0.965605
-0.0333789,0.075332,0.964961
-0.0333398,0.0724609,0.966543
-0.0274219,0.0708789,0.968066
-0.0275,0.072793,0.970527
-0.0318555,0.0712305,0.96998
-0.0319531,0.0707227,0.969727
-0.0258008,0.0718555,0.968379
-0.0292188,0.073418,0.968613
-0.0287695,0.0763672,0.969746
-0.0271289,0.0778906,0.970586
-0.0286328,0.0737891,0.96998
-0.0288281,0.0718359,0.969727
-0.0261328,0.0750586,0.96957
-0.0273047,0.0775781,0.970625
-0.0278516,0.0781836,0.970684
-0.027793,0.079043,0.971016
-0.0298633,0.0810156,0.973223
-0.0255664,0.077832,0.969609
-0.0208008,0.0763477,0.96668
-0.0237109,0.075625,0.966211
-0.0219141,0.0736914,0.967012
-0.0222656,0.0777734,0.969707
-0.0256641,0.0791992,0.970098
-0.0263672,0.0779492,0.96791
-0.0253711,0.0764258,0.967168
-0.0236523,0.0749805,0.968789
-0.0219531,0.0744922,0.971367
-0.0266797,0.0746289,0.970898
-0.0275586,0.0783203,0.968457
-0.0256445,0.0773438,0.966914
-0.0266406,0.0737695,0.966816
-0.0245898,0.0741016,0.969434
-0.0247461,0.0763672,0.96834
-0.0242188,0.0765234,0.966211
-0.0250781,0.0816797,0.972637
-0.0272461,0.0788477,0.969805
-0.0262891,0.0759375,0.966973
-0.0269336,0.0759375,0.968887
-0.0279883,0.0731641,0.969023
-0.0233203,0.0719336,0.966895
-0.0233594,0.072168,0.969297
-0.025918,0.0723828,0.970078
-0.0294141,0.0720117,0.968301
-0.0302734,0.0741797,0.967852
-0.0280859,0.0754492,0.966602
-0.0278711,0.0751953,0.968203
-0.0284375,0.0733789,0.965664
-0.0283594,0.0729687,0.967852
-0.0286328,0.0726367,0.968066
-0.0288086,0.0728906,0.968789
-0.0297461,0.0734375,0.970273
